Prenom destinataire;Nom destinataire;Code postal;Boutique (code);Date de validation de commande prévue;Reference de colis;ID (Livraison);Reference de l'expedition (Numero de tracking transporteur);Transporteur
Justine;Roussel;6777;;;MB4002902_1764184;208273106;XT338027292FR;Chronopost
Mael;Pierre;51247;;;MB4005334_1763728;208273004;XT338002931FR;Chronopost
Léa;Mathieu;82323;;;MB4001293_1764103;208558600;XT338025610FR;Chronopost
Quentin;Lopez;59412;;;MB4038725_1764290;208272968;XT338032788FR;Chronopost
Anaïs;Vasseur;558;;;MB4036722_1762317;208214689;XT337823989FR;Chronopost
Lina;Fernandez;34713;;;MB3983592_1764207;208269586;XT338028032FR;Chronopost
Sacha;Petit;98857;;;MB4038683_1763930;208272293;XT338017471FR;Chronopost
Valentin;Mercier;39485;;;MB4023684_1763817;208272042;XT338004314FR;Chronopost
Charlotte;Masson;26332;;;MB4034150_1763748;208271860;XT338003530FR;Chronopost
Lou;Laine;25978;;;MB3992401_1764017;208270295;XT338024265FR;Chronopost
Mathilde;Carre;10453;;;MB4026862_1764370;208271979;XT338043281FR;Chronopost
Maëlle;Deschamps;25288;;;MB3994164_1764495;208272269;XT338059825FR;Chronopost
Noémie;Noel;11133;;;MB4025475_1764506;208271929;XT338059922FR;Chronopost
Mattéo;Prevost;98685;;;MB4035467_1764415;208271996;XT338045883FR;Chronopost
Rayan;Guillaume;33023;;;MB4017914_1764497;208272072;XT338059834FR;Chronopost
Evan;Leroux;56214;;;MB4037306_1764572;208289574;XT338076280FR;Chronopost
Julie;Jacquet;85244;;;MB4038934_1764585;208269747;XT338079618FR;Chronopost
Mélissa;Dupont;94717;;;MB4031870_1764350;208272180;XT338041161FR;Chronopost
Clément;Chevalier;47455;;;MB4038760_1764313;208271441;XT338036317FR;Chronopost
Maeva;Rodriguez;15652;;;MB4037962_1763791;208560190;XT338063533FR;Chronopost
Alexandre;Leroux;82427;;;MB4039101_1764727;208558345;XT338113084FR;Chronopost
Mathéo;Baron;75848;;;MB3883588_1764664;208559671;XT338100412FR;Chronopost
Manon;Royer;14980;;;MB4038810_1764424;208272218;XT338047703FR;Chronopost
Ethan;Boyer;66937;;;MB4040945_1767332;208856954;XT338379419FR;Chronopost
Lena;Dubois;38546;;;MB4003207_1766661;208609179;XT338316572FR;Chronopost
Jeanne;Barre;88492;;;MB4016755_1766230;208609628;XT338282817FR;Chronopost
Julien;Sanchez;29350;;;MB3995845_1767176;208905531;XT338373243FR;Chronopost
Océane;Gaillard;10174;;;MB3992765_1767088;208632101;XT338361903FR;Chronopost
Romane;Bernard;4273;;;MB4036864_1767414;208858403;XT338386936FR;Chronopost
Adrien;Berger;65088;;;MB4038564_1767416;208856815;XT338386984FR;Chronopost
Louna;Robin;24548;;;MB4038514_1765072;208632976;XT338369725FR;Chronopost
Mélissa;Julien;55637;;;MB4040995_1767386;208855463;XT338384833FR;Chronopost
Romain;Arnaud;40590;;;MB4040222_1765946;208609626;XT338235701FR;Chronopost
Anaïs;Gauthier;92151;;;MB4040882_1767128;208901836;XT338371707FR;Chronopost
Alice;Faure;11508;;;MB4038781_1767339;208846919;XT338380791FR;Chronopost
Mélissa;Pons;76303;;;MB4040525_1766393;208609408;XT338306323FR;Chronopost
Noémie;Meyer;74126;;;MB4036326_1768110;208856348;XT338439015FR;Chronopost
Baptiste;Le gall;31379;;;MB4037054_1768111;208856392;XT338439024FR;Chronopost
Lina;Charles;84134;;;MB4041913_1767976;208858490;XT338414274FR;Chronopost
Nicolas;Lemoine;22389;;;MB4041921_1767988;208855397;XT338414566FR;Chronopost
Mael;Fournier;13230;;;MB4041976_1768019;208855802;XT338415561FR;Chronopost
Yanis;Meunier;46341;;;MB4042019_1768040;208851354;XT338416519FR;Chronopost
Chloé;Perez;75164;;;MB4041837_1767934;208846139;XT338413821FR;Chronopost
Julien;Lefebvre;69986;;;MB4042651_1768924;208899880;XT338539331FR;Chronopost
Clément;Noel;76227;;;MB4042648_1768923;208903714;XT338539328FR;Chronopost
Clémence;Renard;99976;;;MB3980014_1767397;208847850;XU742447266FR;Chronopost
Jade;Fournier;14736;;;MB4041822_1768945;208903990;XT338540706FR;Chronopost
Victor;Benoit;29518;;;MB4034261_1761216;208213019;XT337766867FR;Chronopost
Hugo;Girard;28157;;;MB4033934_1760935;207888384;XT337730125FR;Chronopost
Julie;Poirier;95696;;;MB4030208_1755856;207295231;XT337143031FR;Chronopost
Jade;Denis;83321;;;MB4035465_1761852;208272644;XT337806773FR;Chronopost
Quentin;Nguyen;31501;;;MB4035925_1761957;208213013;XT337814531FR;Chronopost
Nathan;Menard;4680;;;MB4034900_1761587;208214270;XT337782666FR;Chronopost
Chloé;Legrand;96087;;;MB4034552_1761282;208214334;XT337773491FR;Chronopost
Romain;Roussel;70513;;;MB4035290_1761767;208214747;XT337800210FR;Chronopost
Enzo;Perrin;88672;;;MB4035221_1761728;208270562;XT337795316FR;Chronopost
Lina;Roussel;98755;;;MB4035934_1761963;208214675;XT337814602FR;Chronopost
Antoine;Garnier;18517;;;MB4030444_1761647;208213254;XT337787535FR;Chronopost
Gabriel;Henry;23805;;;MB4035777_1761926;208215520;XT337812535FR;Chronopost
Océane;Gautier;33901;;;MB4036810_1762364;208214144;XT337824975FR;Chronopost
Clément;Nicolas;99867;;;MB4035517_1761866;208213627;XT337808522FR;Chronopost
Léa;Barbier;75897;;;MB4036423_1762142;208272116;XT337821665FR;Chronopost
;Aubert;74494;;;108321_1766807;208609010;XJ046562444JF;Chronopost
Ines;Legrand;22532;;;MB4036764_1762337;208213890;XT337824349FR;Chronopost
Baptiste;Blanc;82046;;;MB4037081_1762512;208273391;XT337827699FR;Chronopost
Mael;Lemaire;93309;;;MB4036832_1762369;208213984;XT337825199FR;Chronopost
Jules;Moreau;6282;;;MB4037116_1762540;208215101;XT337828045FR;Chronopost
Louise;Lefebvre;62846;;;MB4037553_1762801;208213773;XT337833031FR;Chronopost
Charlotte;Cousin;76491;;;MB4037437_1762715;208214136;XT337831662FR;Chronopost
Mathilde;Thomas;78462;;;MB4037407_1762699;208214733;XT337831367FR;Chronopost
Maxence;Fournier;21936;;;MB4036919_1762416;208214106;XT337826305FR;Chronopost
Zoe;Laurent;71547;;;MB4037030_1762477;208214229;XT337827230FR;Chronopost
Valentin;Perrin;89141;;;MB4036547_1762230;208269609;XT337822970FR;Chronopost
Camille;Carre;90375;;;MB4036901_1762403;208214676;XT337826000FR;Chronopost
Maxence;Schmitt;43810;;;MB4037451_1762724;208272836;XT337832107FR;Chronopost
Louise;Royer;22898;;;MB4009741_1762233;208215240;XT337822997FR;Chronopost
Maëlys;Lemaire;90033;;;MB4037339_1762672;208213877;XT337830653FR;Chronopost
Anaïs;Morin;66574;;;MB4037399_1762697;208215426;XT337831296FR;Chronopost
Lina;Meyer;64854;;;MB4036891_1762398;208214782;XT337825980FR;Chronopost
Ethan;Nicolas;18452;;;MB4024921_1762187;208213809;XT337822665FR;Chronopost
Julien;Vidal;1184;;;MB4037535_1762839;208273131;XT337833500FR;Chronopost
Mathilde;Prevost;19738;;;MB3904397_1762547;208215376;XT337828337FR;Chronopost
Léa;Carpentier;30416;;;MB4037410_1762703;208215445;XT337831384FR;Chronopost
Adrien;Denis;3285;;;MB3990603_1764236;208271898;XT338028797FR;Chronopost
Léa;Cousin;98871;;;MB4038564_1763838;208272501;XT338004495FR;Chronopost
Laura;Breton;97720;;;MB4039083_1764710;208609459;XT338110304FR;Chronopost
Zoe;Faure;49317;;;MB4039091_1764723;208609611;XT338112319FR;Chronopost
Alexandre;Berger;18093;;;MB4038551_1763878;208271141;XT338005155FR;Chronopost
Arthur;Lambert;77661;;;MB4038743_1764300;208271958;XT338033443FR;Chronopost
Ines;Hubert;46097;;;MB4036373_1762118;208273278;XT338008744FR;Chronopost
Arthur;Nicolas;7442;;;MB2711113_1763888;208558683;XT338005337FR;Chronopost
Chloé;Brun;88687;;;MB4038685_1763934;208272138;XT338020100FR;Chronopost
Chloé;Remy;41724;;;MB4002113_1764104;208272017;XT338025623FR;Chronopost
Eva;Arnaud;93695;;;MB4017590_1763616;208273310;XT338039313FR;Chronopost
Célia;Muller;58345;;;MB4017590_1763286;208273308;XT338039154FR;Chronopost
Clément;Noel;78562;;;MB4040563_1766494;208609081;XT338312099FR;Chronopost
Nicolas;Fleury;66636;;;MB3998887_1767277;208847599;XT338374589FR;Chronopost
Louise;Chevalier;16080;;;MB4039338_1765972;208559042;XT338242000FR;Chronopost
Justine;Dumont;84234;;;MB4039832_1765467;208559573;XT338191285FR;Chronopost
Maëlys;Faure;49424;;;MB4020828_1766206;208609664;XT338281391FR;Chronopost
Juliette;Garcia;3340;;;MB4036986_1767038;208906212;XT338350843FR;Chronopost
Charlotte;Guillaume;78982;;;MB4041270_1767544;208844413;XT338403020FR;Chronopost
Océane;Da silva;39797;;;MB4003112_1766173;208609245;XT338279716FR;Chronopost
Lucie;Duval;81063;;;MB4034467_1767028;208844315;XT338350579FR;Chronopost
Mélissa;Chevalier;63142;;;MB4030934_1766388;208609439;XT338306155FR;Chronopost
Marie;Robert;64619;;;MB4031560_1766239;208609411;XT338282919FR;Chronopost
Mathis;Blanc;66721;;;MB4040606_1768174;208846489;XT338451100FR;Chronopost
Antoine;Lopez;59260;;;MB4042773_1769102;208898628;XT338561578FR;Chronopost
Jade;Remy;74847;;;MB4038037_1768704;208901361;XT338525933FR;Chronopost
Ambre;Huet;54107;;;MB4042489_1768670;208905860;XT338521959FR;Chronopost
Théo;Lefebvre;9011;;;MB4009173_1768565;208902391;XT338549594FR;Chronopost
Lilou;Fleury;71725;;;MB4042834_1769171;208901035;XT338571310FR;Chronopost
Victor;Rolland;62192;;;MB4042669_1768947;208899731;XT338549603FR;Chronopost
Nathan;Gautier;953;;;MB4036152_1768738;208900014;XT338526885FR;Chronopost
Paul;Poirier;90435;;;MB3997827_1764115;208609706;XU740227228FR;Chronopost
Maëlys;Renault;5997;;;MB4039871_1765491;208558810;XU741059693FR;Chronopost
Enzo;Roger;6814;;;MB4000098_1764210;208273109;XU740237579FR;Chronopost
Mael;Pons;72848;;;MB4039528_1764999;208558652;XU740965722FR;Chronopost
Noa;Renard;53782;;;MB3997941_1764086;208273240;XU740225332FR;Chronopost
Antoine;Berger;79349;;;MB4001654_1764105;208609441;XU740226823FR;Chronopost
Maeva;Martin;69526;;;MB3943542_1764095;208560211;XU740492435FR;Chronopost
Lilou;Maillard;39761;;;MB3986795_1764514;208609748;XU741494401FR;Chronopost
Lina;Charpentier;87218;;;MB3962044_1756095;207346949;XU733733949FR;Chronopost
Léa;Remy;47102;;;MB3896708_1761714;208269373;XU738368981FR;Chronopost
Jules;Aubry;89747;;;MB4036532_1762204;208212929;XU738646708FR;Chronopost
Justine;Hubert;58286;;;MB3973197_1767293;208897978;XU743849544FR;Chronopost
Jeanne;Le gall;79716;;;MB3956827_1761977;208212857;XU738518828FR;Chronopost
Arthur;Dupont;80079;;;MB4001701_1769262;208898921;XU743789219FR;Chronopost
Lilou;Dufour;97942;;;MB3959685_1755830;207356769;XU733694922FR;Chronopost
Louise;Meunier;73611;;;MB3945244_1769213;208898210;XU743764132FR;Chronopost
Océane;Lefevre;87866;;;MB4019976_1760305;207856630;XU737161518FR;Chronopost
Noémie;Barre;16856;;;MB4014354_1763376;208265278;8690588;Mondial Relay
Benjamin;Benoit;49034;;;MB4040026_1765592;208608134;8691127;Mondial Relay
Lilou;Francois;51830;;;MB3980330_1754339;207371999;XU734180257FR;Chronopost
Théo;Dubois;80391;;;MB4011173_1764502;208597394;8691187;Mondial Relay
Pauline;Carpentier;65079;;;MB4023127_1755968;207349250;XT337146347FR;Chronopost
Zoe;Perez;32039;;;MB4040731_1766921;208632182;XU742079592FR;Chronopost
Quentin;Rodriguez;71407;;;MB3977919_1763943;208609755;XU741519528FR;Chronopost
Lena;Gonzalez;9332;;;MB3996222_1764512;208609819;XU741359208FR;Chronopost
Maëlle;Philippe;51731;;;MB4029247_1760974;208199230;8688997;Mondial Relay
Louna;Roger;30999;;;MB4038996_1765824;208607759;8691142;Mondial Relay
Manon;Bonnet;76169;;;MB4032160_1759166;207885073;8688175;Mondial Relay
Mattéo;Deschamps;74192;;;MB4025233_1766478;208601840;8691419;Mondial Relay
Manon;Philippe;90176;;;MB4039521_1764997;208607338;8690943;Mondial Relay
Kylian;Barbier;21641;;;MB4039210_1764794;208608069;8690849;Mondial Relay
Jade;Gaillard;22498;;;MB4037482_1763965;208597449;8691190;Mondial Relay
Célia;Lopez;49711;;;MB3956002_1764640;208560028;XU740587742FR;Chronopost
Chloé;Dupuis;23031;;;MB3982538_1764587;208289590;XU740508152FR;Chronopost
Mathilde;Michel;74239;;;MB4039095_1764724;208606960;8690813;Mondial Relay
Rayan;Renard;88619;;;MB4020968_1766412;208609206;XU741845448FR;Chronopost
Emilie;Michel;3603;;;MB4033116_1759914;207855697;XT337638094FR;Chronopost
Mathilde;Gaillard;364;;;MB4039049_1766736;208609222;XU741942060FR;Chronopost
;Schmitt;13606;;;322403_1755086;207358505;7603631;IMX
Noah;Morel;91928;;;MB4033879_1760882;207878391;8688951;Mondial Relay
Carla;Renaud;64666;;;MB3979812_1750575;207288828;XT336516182FR;Chronopost
Sarah;Dupont;68963;;;MB4037831_1762955;208213821;XU739259991FR;Chronopost
Marie;David;35567;;;MB4036211_1762047;208212865;XU738561888FR;Chronopost
Eva;Francois;57744;;;MB4040355_1766124;208609587;XU741623208FR;Chronopost
Chloé;Charpentier;6269;;;IT4029670_1764381;208272195;XJ046393745JF;Chronopost
Chloé;Aubry;10425;;;MB3976414_1758916;207886229;XT337627281FR;Chronopost
Maëlys;Dufour;54631;;;MB4039181_1764777;208608192;8690845;Mondial Relay
Adrien;Perez;25918;;;MB4001132_1765886;208560040;XU741345742FR;Chronopost
Evan;Mercier;9000;;;MB4037071_1763515;208263368;8690222;Mondial Relay
Baptiste;Cousin;5859;;;MB4040097_1765831;208607890;8691148;Mondial Relay
Lou;Garcia;12132;;;MB4024299_1748640;207337484;8683607;Mondial Relay
Raphaël;Schneider;51230;;;MB4029315_1754584;207358641;7602420;IMX
Mathilde;Aubry;89030;;;MB4037990_1763047;208272220;XU739305784FR;Chronopost
Léo;Vidal;96268;;;MB4040269_1766044;208607457;8691238;Mondial Relay
Elisa;Blanchard;24991;;;MB4034804_1761505;208212976;XT337776263FR;Chronopost
Clara;Francois;23497;;;MB4037328_1762664;208272231;XU739116193FR;Chronopost
Gabriel;Julien;87752;;;MB4030674_1758334;207589693;XT337346839FR;Chronopost
Hugo;Remy;42735;;;MB3988722_1763940;208610064;XU741446397FR;Chronopost
Emilie;Dumas;86221;;;MB3961046_1764633;208610048;XU741369616FR;Chronopost
Sarah;Charpentier;74604;;;MB4040517_1766963;208609022;XU742095198FR;Chronopost
Mael;Lambert;13305;;;MB4035358_1763358;208272276;XT337894795FR;Chronopost
Clara;Sanchez;49100;;;MB4003330_1755845;207628770;XT337142835FR;Chronopost
Laura;Vasseur;57279;;;MB4037053_1762493;208263141;8689680;Mondial Relay
Lou;Huet;9038;;;MB4039976_1765559;208607934;8691107;Mondial Relay
Lisa;Olivier;53393;;;MB4037824_1762953;208265097;8689938;Mondial Relay
Anaïs;Fontaine;44114;;;MB4039611_1765053;208604853;8690978;Mondial Relay
Victor;Roux;27711;;;MB4026121_1766867;208609008;XU742018117FR;Chronopost
Mathilde;Dupuis;28572;;;MB3903321_1756281;207625678;XU733803534FR;Chronopost
Léa;Francois;12663;;;MB4039581_1765025;208607857;8690961;Mondial Relay
Arthur;Andre;9190;;;MB3979652_1763377;208273305;XU740295497FR;Chronopost
Mathéo;Giraud;21100;;;MB4039824_1765459;208609486;XU741046125FR;Chronopost
Célia;Collet;59808;;;MB4026075_1764864;208559342;XU740863241FR;Chronopost
Paul;Barre;30299;;;MB4015044_1764197;208271157;XU740236746FR;Chronopost
Lisa;Petit;26156;;;MB4038605_1763861;208608926;XU740125688FR;Chronopost
Alicia;Deschamps;91863;;;MB4005554_1764721;208598625;8690811;Mondial Relay
Nicolas;Colin;40652;;;MB4039273_1764858;208607945;8690875;Mondial Relay
Océane;Barbier;27959;;;MB4039429_1764948;208596312;8691464;Mondial Relay
Chloé;Bourgeois;72049;;;MB4037175_1762568;208198750;8689727;Mondial Relay
Kylian;Fabre;48923;;;MB4036848_1763697;208266532;8690321;Mondial Relay
Rayan;Simon;27441;;;MB3993894_1764150;208272717;XU740229952FR;Chronopost
Chloé;Mercier;86909;;;MB4037162_1762561;208265458;8690298;Mondial Relay
Jeanne;Schneider;67555;;;MB3928273_1764395;208609753;XU741502385FR;Chronopost
Noémie;Le gall;18718;;;MB4038595_1763850;208265622;8690387;Mondial Relay
Charlotte;Meyer;29867;;;MB3910432_1760397;207855382;XU737066145FR;Chronopost
Lucas;David;73349;;;MB4027040_1751208;207348151;XT336596509FR;Chronopost
Enzo;Rousseau;6819;;;MB3902288_1765906;208559832;XU741365720FR;Chronopost
Hugo;Moreau;75406;;;MB4036180_1762769;208212819;XT337832610FR;Chronopost
Louise;Francois;32978;;;MB3953154_1766879;208632326;XU742021941FR;Chronopost
Eva;Maillard;83044;;;MB4038494_1763571;208265214;8690249;Mondial Relay
Jade;Guillot;38055;;;MB4032738_1759574;207855624;XT337600394FR;Chronopost
Mael;Guillaume;67423;;;MB4036269_1762071;208278486;00DODKEY;GLS
Julie;Jacquet;90147;;;MB4034864_1761569;208265594;8689245;Mondial Relay
Jade;Jacquet;11100;;;MB3998541_1763308;208266978;8690131;Mondial Relay
Adrien;Michel;76980;;;MB3950795_1763382;208215126;XT337898222FR;Chronopost
Antoine;Bonnet;95104;;;MB4038652_1763900;208266358;8690412;Mondial Relay
Axel;Roger;83449;;;MB4037598_1762831;208198457;8689869;Mondial Relay
Marie;Jacquet;65880;;;MB4019498_1765894;208559438;XU741346076FR;Chronopost
Chloé;Dumas;95252;;;MB4035609_1761885;208282241;00DODKCN;GLS
Arthur;Muller;4599;;;MB4038105_1763120;208196509;8690041;Mondial Relay
Chloé;Baron;64743;;;MB4037221_1765130;208559147;XU741027744FR;Chronopost
Enzo;Bernard;11351;;;MB4034958_1761611;208282566;00DODK3J;GLS
Enzo;Marie;58770;;;MB4034996_1761622;208195704;8689271;Mondial Relay
Mathis;Fontaine;71034;;;MB4036596_1762514;208262843;8689694;Mondial Relay
Mattéo;Gonzalez;63348;;;MB3956490_1764161;208610076;XU741487621FR;Chronopost
Adrien;Marty;98857;;;ES4033157_1759947;207880880;8688484;Mondial Relay
Louis;Joly;54342;;;MB4019508_1764241;208266328;8690539;Mondial Relay
Louna;Bernard;5106;;;MB4032308_1759297;207898799;00DOLXYE;GLS
Pierre;Aubert;35325;;;MB4032266_1759263;207898272;00DNVD1I;GLS
Manon;Marie;79970;;;MB4031186_1757697;207898963;00DNL38B;GLS
Nicolas;Lopez;18193;;;MB4034518_1761262;208278997;00DO4JT4;GLS
Maëlle;Faure;78181;;;MB4021441_1761657;208279609;00DOM4GX;GLS
Sacha;Roche;73298;;;MB4023950_1763722;208266665;8690333;Mondial Relay
Julie;Durand;31039;;;MB4031477_1764507;208267141;8690674;Mondial Relay
Jeanne;Blanchard;75555;;;MB4033550_1760339;207880046;8688709;Mondial Relay
Yanis;Roger;8298;;;MB3990649_1764080;208289455;00DODORY;GLS
Victor;Perrin;85443;;;MB4036949_1762432;208196145;8689642;Mondial Relay
Lilou;Durand;59291;;;MB4033694_1760573;207880611;8688834;Mondial Relay
Mathéo;Philippe;21540;;;MB4037618_1762845;208198751;8689875;Mondial Relay
Juliette;Riviere;55687;;;MB4037142_1762555;208196707;8689717;Mondial Relay
Nathan;Breton;52985;;;MB4037332_1762667;208197542;8689783;Mondial Relay
Evan;Roy;90909;;;MB4027253_1760958;208262695;8688987;Mondial Relay
Maxence;Paul;30330;;;MB4030766_1757363;207622502;8687060;Mondial Relay
Antoine;Lefevre;21120;;;MB4033574_1762767;208199053;8689833;Mondial Relay
Léo;Guyot;19355;;;MB4037995_1763049;208198392;8690000;Mondial Relay
Mael;Petit;57835;;;MB4037326_1762662;208265428;8690290;Mondial Relay
Adam;Schmitt;72254;;;MB4034210_1761118;208265396;8690758;Mondial Relay
Lou;Schneider;30536;;;MB3995645_1761097;208280941;00DNVIH6;GLS
Juliette;Bonnet;14;;;MB4039450_1764961;208608138;8690929;Mondial Relay
Charlotte;Cousin;86747;;;MB4032389_1759353;207885360;8688254;Mondial Relay
Alice;Nguyen;30394;;;MB4037732_1762897;208197866;8689907;Mondial Relay
Célia;Marty;73428;;;MB4030314_1760702;207878857;8688869;Mondial Relay
Gabriel;Marchal;94200;;;MB4036687_1762301;208196490;8689569;Mondial Relay
Pauline;Richard;20373;;;MB4038769_1764401;208265530;8690639;Mondial Relay
Elisa;Dubois;29396;;;ES4039991_1765568;208635033;8361482743;DHL
Nicolas;Baron;10676;;;MB4037948_1763019;208198453;8689980;Mondial Relay
Charlotte;Dumas;49377;;;MB4037143_1762550;208196538;8689714;Mondial Relay
Enzo;Martinez;55375;;;MB4038496_1763585;208265241;8690254;Mondial Relay
Enzo;Perez;26709;;;MB4036400_1762132;208198611;8689472;Mondial Relay
Théo;Jean;69685;;;MB4036818_1762366;208198588;8689606;Mondial Relay
Louis;Charles;26209;;;MB4024189_1757101;207328058;8686935;Mondial Relay
Adam;Roy;3136;;;MB4036917_1762412;208198599;8689634;Mondial Relay
Adrien;Gautier;59632;;;MB4034683_1761440;208198344;8689181;Mondial Relay
Hugo;Gaillard;14568;;;MB4035147_1761695;208197709;8689302;Mondial Relay
Gabriel;Masson;37757;;;MB4037704_1762882;208195957;8689896;Mondial Relay
Thomas;Garcia;96142;;;MB4027571_1760345;207878243;8688712;Mondial Relay
Maëlle;Roche;92854;;;MB4037298_1762646;208266265;8689768;Mondial Relay
Mélissa;Lopez;51881;;;MB4025130_1764279;208599771;8690561;Mondial Relay
Pierre;Philippe;41623;;;MB4028553_1760955;208319686;9L27333157805;Coliposte
Océane;Rodriguez;92194;;;ES4034434_1761217;208289612;2335321564;DHL
;Michel;78649;;;322401_1755075;207358608;7603600;IMX
Valentin;Petit;41175;;;MB4037871_1762973;208198553;8689949;Mondial Relay
Mathéo;Dumont;11962;;;MB4032182_1759194;207898742;00DNVD14;GLS
Léo;Garnier;43316;;;MB4033061_1759887;207885822;8688962;Mondial Relay
Noa;Laurent;75499;;;MB4036811_1762363;208265211;8689604;Mondial Relay
Quentin;Pierre;18829;;;MB4032205_1762766;208198377;8689832;Mondial Relay
Emilie;Aubry;24295;;;MB4034499_1763349;208197020;8690156;Mondial Relay
Mael;Guillot;45155;;;ES4034691_1761446;208198729;8689184;Mondial Relay
Julien;Thomas;16176;;;MB4037320_1762660;208197323;8689779;Mondial Relay
Alicia;Pierre;18573;;;MB3990980_1764866;208607794;8690878;Mondial Relay
Camille;Guyot;52780;;;MB4034877_1761574;208197534;8689248;Mondial Relay
Maeva;Robin;67045;;;MB3988533_1763998;208266003;8690453;Mondial Relay
Alice;Fernandez;25010;;;MB4033948_1760969;208265266;8688991;Mondial Relay
Baptiste;Roche;19914;;;MB4034870_1761567;208198354;8689243;Mondial Relay
Zoe;Vidal;27287;;;MB4037224_1762597;208199244;8689743;Mondial Relay
Pierre;Jean;31765;;;MB4035664_1761903;208197233;8689386;Mondial Relay
Lilou;Dupont;43453;;;MB4037520_1762789;208198626;8689847;Mondial Relay
Jules;Dupont;33996;;;MB4030191_1755719;207342622;XT337141353FR;Chronopost
Sarah;Royer;77834;;;MB4021720_1761092;208195539;8689055;Mondial Relay
Jeanne;Duval;16108;;;MB4034313_1761163;208273262;XT337983844FR;Chronopost
Océane;Perez;71109;;;MB4000159_1764100;208609727;XU740226341FR;Chronopost
Juliette;Fontaine;9007;;;MB4039593_1765031;208607908;8690966;Mondial Relay
Jules;Mercier;24280;;;MB3977751_1766280;208607725;8691336;Mondial Relay
Marie;Lemaire;28698;;;MB4034603_1761404;208197820;8689162;Mondial Relay
Louise;Vasseur;83120;;;MB4037182_1762573;208198456;8689731;Mondial Relay
Mohamed;Louis;24038;;;MB4029054_1763899;208265629;8690411;Mondial Relay
Noa;Collet;2726;;;ES4021738_1764048;208265345;8690726;Mondial Relay
Jade;Meyer;70451;;;MB4037897_1762992;208198899;8689960;Mondial Relay
Pierre;Blanc;37473;;;ES4035578_1761908;208199224;8689390;Mondial Relay
Mael;Andre;80018;;;MB4032242_1759237;207880976;8688204;Mondial Relay
Lucas;Muller;16169;;;MB4034275_1761143;208262655;8689082;Mondial Relay
Lou;Picard;45126;;;MB3995479_1764010;208266185;8690460;Mondial Relay
Eva;Meyer;26785;;;MB4016975_1763428;208263550;8690187;Mondial Relay
Eva;Nicolas;53659;;;MB4034573_1761394;208197365;8689153;Mondial Relay
Mael;Schmitt;4057;;;MB4037776_1762922;208262661;8689920;Mondial Relay
Lilou;Moreau;46889;;;MB4024987_1757204;207617952;8686980;Mondial Relay
Mattéo;Noel;76163;;;MB4038719_1764270;208266427;8690552;Mondial Relay
Alicia;Brun;16692;;;MB4010690_1766751;208608185;8691484;Mondial Relay
Lou;Richard;60123;;;ES4033739_1761190;208198517;8689097;Mondial Relay
Nathan;Robin;84784;;;MB4034755_1761483;208197532;8689204;Mondial Relay
Carla;Lecomte;19001;;;MB4014910_1756897;207621134;8686862;Mondial Relay
Louna;Mathieu;8848;;;MB4027129_1751544;207337019;8684723;Mondial Relay
Maxime;Noel;29222;;;MB4038528_1763691;208266483;8690319;Mondial Relay
Célia;Louis;35897;;;MB3758509_1763437;208263552;8690190;Mondial Relay
Axel;Lopez;90334;;;MB4025715_1751100;207244117;7592977;IMX
Lisa;Caron;56912;;;MB4006129_1763333;208212973;XU739671425FR;Chronopost
Maëlys;Muller;43412;;;MB4034739_1761470;208272982;XT337775245FR;Chronopost
Sacha;Dupont;1583;;;MB4034921_1761596;208198780;8689262;Mondial Relay
Pauline;David;34375;;;MB4020742_1766449;208609955;XU742133801FR;Chronopost
Mathéo;Henry;51400;;;MB4034330_1761172;208263544;8689090;Mondial Relay
Clara;Simon;90033;;;ES3915242_1766382;208634730;7575590945;DHL
Justine;Perrot;57676;;;MB3972877_1756884;207675915;9L27315079729;Coliposte
Thomas;Barbier;39360;;;MB3977449_1754399;207676098;9L27332542091;Coliposte
Lou;Mercier;28168;;;ES4034542_1761439;208267162;8689180;Mondial Relay
Enzo;Perrin;5339;;;MB4031548_1758002;207616828;8688010;Mondial Relay
Océane;Dupont;34535;;;MB4036523_1762201;208263107;8689511;Mondial Relay
Maeva;Lucas;49206;;;ES4034827_1761518;208265315;8690642;Mondial Relay
Léa;Guyot;96149;;;ES3966126_1761813;208199213;8689351;Mondial Relay
Lou;Andre;82132;;;MB4038611_1763867;208266173;8690395;Mondial Relay
Charlotte;Faure;1967;;;MB4032890_1759669;207883366;8688395;Mondial Relay
Maxime;Michel;4361;;;ES4035770_1765981;208635193;8361749970;DHL
Nathan;Caron;57630;;;MB4039355_1764906;208608047;8690900;Mondial Relay
Juliette;Brunet;38994;;;MB4029787_1754847;207340482;8686132;Mondial Relay
Nicolas;Blanc;49443;;;MB4038441_1763378;208265246;8690171;Mondial Relay
Baptiste;Paris;49507;;;MB4039245_1764850;208598175;8690869;Mondial Relay
Romane;Paris;29165;;;MB4034151_1761077;208262712;8689052;Mondial Relay
Alice;Dufour;96100;;;MB4032647_1759525;207882920;8688317;Mondial Relay
Ethan;Blanc;16596;;;MB4009251_1756576;207332724;8686756;Mondial Relay
Ambre;Thomas;39258;;;MB4005396_1757230;207620041;8686988;Mondial Relay
Lucas;Marchand;39399;;;MB4037038_1762483;208263072;8689674;Mondial Relay
Manon;Muller;65721;;;MB4028037_1760451;207880540;8688761;Mondial Relay
Paul;Roux;49513;;;MB4033295_1760007;207884844;8688525;Mondial Relay
